Time;Command;AffectedRows;ElapsedTime;
2018.04.09_00:20:57;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10659
2018.04.09_00:21:05;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8144
2018.04.09_00:21:15;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9902
2018.04.09_00:21:25;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9553
2018.04.09_00:21:35;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10861
2018.04.09_00:21:45;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9179
2018.04.09_00:21:54;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8934
2018.04.09_00:22:02;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8654
2018.04.09_00:22:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8506
2018.04.09_00:22:22;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9064
2018.04.09_00:22:32;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10299
2018.04.09_00:22:43;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10466
2018.04.09_00:22:51;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7832
2018.04.09_00:23:01;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10449
2018.04.09_00:23:10;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8927
2018.04.09_00:23:18;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8226
2018.04.09_00:23:27;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9247
2018.04.09_00:23:38;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10240
2018.04.09_00:23:46;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8619
2018.04.09_00:23:55;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8899
2018.04.09_00:24:04;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8940
2018.04.09_00:24:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8604
2018.04.09_00:24:21;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7804
2018.04.09_00:24:30;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9608
2018.04.09_00:24:41;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9373
2018.04.09_00:24:51;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9514
2018.04.09_00:25:00;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8643
2018.04.09_00:25:10;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9968
2018.04.09_00:25:20;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10922
2018.04.09_00:25:30;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9134
2018.04.09_00:25:38;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8742
2018.04.09_00:25:48;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9983
2018.04.09_00:25:57;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9045
2018.04.09_00:26:06;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8535
2018.04.09_00:26:14;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8455
2018.04.09_00:26:23;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8276
2018.04.09_00:26:32;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9632
2018.04.09_00:26:39;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6929
2018.04.09_00:26:48;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9116
2018.04.09_00:26:58;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9727
2018.04.09_00:27:07;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9120
2018.04.09_00:27:15;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7799
2018.04.09_00:27:26;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9517
2018.04.09_00:27:37;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10066
2018.04.09_00:27:46;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8948
2018.04.09_00:27:55;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8650
2018.04.09_00:28:05;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10185
2018.04.09_00:28:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8125
2018.04.09_00:28:27;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13305
2018.04.09_00:28:45;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;18047
2018.04.09_00:28:59;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;14369
2018.04.09_00:29:09;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10533
2018.04.09_00:29:17;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7443
2018.04.09_00:29:24;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;6764
2018.04.09_00:29:33;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9821
2018.04.09_00:29:47;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11677
2018.04.09_00:29:55;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7815
2018.04.09_00:30:03;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8447
2018.04.09_00:30:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9358
2018.04.09_00:30:24;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11251
2018.04.09_00:30:39;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;14697
2018.04.09_00:30:48;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9401
2018.04.09_00:30:58;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9857
2018.04.09_00:31:07;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9299
2018.04.09_00:31:16;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8721
2018.04.09_00:31:27;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11212
2018.04.09_00:31:40;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13158
2018.04.09_00:31:52;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11699
2018.04.09_00:32:02;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10094
2018.04.09_00:32:14;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9123
2018.04.09_00:32:24;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10227
2018.04.09_00:32:33;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9680
2018.04.09_00:32:43;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9214
2018.04.09_00:32:53;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;10541
2018.04.09_00:33:01;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7729
2018.04.09_00:33:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12214
2018.04.09_00:33:21;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;7609
2018.04.09_00:33:30;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9645
2018.04.09_00:33:39;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;8744
2018.04.09_00:33:49;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;9360
2018.04.09_00:37:35;INSERT;10000;2336
2018.04.09_00:37:57;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;17109
2018.04.09_00:38:12;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;14625
2018.04.09_00:38:25;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12597
2018.04.09_00:38:38;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13795
2018.04.09_00:38:52;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13066
2018.04.09_00:39:04;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12801
2018.04.09_00:39:16;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12031
2018.04.09_00:39:29;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12636
2018.04.09_00:39:42;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12780
2018.04.09_00:39:56;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;14716
2018.04.09_00:40:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;16149
2018.04.09_00:40:25;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12421
2018.04.09_00:40:37;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12080
2018.04.09_00:40:51;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13619
2018.04.09_00:41:06;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;15352
2018.04.09_00:41:18;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11649
2018.04.09_00:41:30;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12396
2018.04.09_00:41:43;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12352
2018.04.09_00:41:56;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13726
2018.04.09_00:42:09;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12926
2018.04.09_00:42:23;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13609
2018.04.09_00:42:36;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13026
2018.04.09_00:42:49;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13250
2018.04.09_00:43:02;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13071
2018.04.09_00:43:15;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12937
2018.04.09_00:43:27;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11721
2018.04.09_00:43:39;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12011
2018.04.09_00:43:50;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11489
2018.04.09_00:44:03;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12699
2018.04.09_00:44:16;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13414
2018.04.09_00:44:29;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12067
2018.04.09_00:44:42;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12636
2018.04.09_00:44:54;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12235
2018.04.09_00:45:07;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12469
2018.04.09_00:45:20;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13327
2018.04.09_00:45:33;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12870
2018.04.09_00:45:46;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13234
2018.04.09_00:46:00;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13954
2018.04.09_00:46:13;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12950
2018.04.09_00:46:27;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;14048
2018.04.09_00:46:38;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11499
2018.04.09_00:46:50;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11936
2018.04.09_00:47:04;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;13514
2018.04.09_00:47:17;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12523
2018.04.09_00:47:29;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12336
2018.04.09_00:47:41;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12008
2018.04.09_00:47:53;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11767
2018.04.09_00:48:05;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12604
2018.04.09_00:48:17;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11744
2018.04.09_00:48:29;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11743
2018.04.09_00:48:42;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;12968
2018.04.09_00:48:54;Egyéni: UPDATE szakd SET email="updatelt@gmail.com" WHERE 1;;0;11990
